CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,TNR_SF,TNR_LF,DATA_QUALITY_FLAG,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,CHARACTERISTIC_NOTE,C1_COUNT_TOTAL,SYMBOL,C2_COUNT_MEN+,SYMBOL,C3_COUNT_WOMEN+,SYMBOL,C10_RATE_TOTAL,SYMBOL,C11_RATE_MEN+,SYMBOL,C12_RATE_WOMEN+,SYMBOL
2021,2021A000235,35,Province,Ontario,2.8,3.8,20000,160,"    $20,000 to $29,999",,1752040,,763295,,988745,,15.5,,13.9,,17,
2021,2021A000235,35,Province,Ontario,2.8,3.8,20000,161,"    $30,000 to $39,999",,1388215,,609735,,778480,,12.3,,11.1,,13.4,
2021,2021A000235,35,Province,Ontario,2.8,3.8,20000,162,"    $40,000 to $49,999",,1190885,,547655,,643230,,10.5,,10,,11.1,
2021,2021A000235,35,Province,Ontario,2.8,3.8,20000,163,"    $50,000 to $59,999",,985270,,468060,,517205,,8.7,,8.5,,8.9,
2021,2021A000235,35,Province,Ontario,2.8,3.8,20000,164,"    $60,000 to $69,999",,782980,,396770,,386210,,6.9,,7.2,,6.6,
2021,2021A000235,35,Province,Ontario,2.8,3.8,20000,165,"    $70,000 to $79,999",,612620,,331080,,281545,,5.4,,6,,4.8,
2021,2021A000235,35,Province,Ontario,2.8,3.8,20000,166,"    $80,000 to $89,999",,477445,,271290,,206150,,4.2,,4.9,,3.5,
2021,2021A000235,35,Province,Ontario,2.8,3.8,20000,167,"    $90,000 to $99,999",,385830,,218395,,167435,,3.4,,4,,2.9,
2021,2021A000235,35,Province,Ontario,2.8,3.8,20000,168,"    $100,000 and over",,1358115,,858695,,499415,,12,,15.7,,8.6,
2021,2021A000235,35,Province,Ontario,2.8,3.8,20000,169,"      $100,000 to $149,999",,897615,,538590,,359025,,7.9,,9.8,,6.2,
2021,2021A000235,35,Province,Ontario,2.8,3.8,20000,170,"      $150,000 and over",,460495,,320105,,140395,,4.1,,5.8,,2.4,
2021,2021A000224,24,Province,Quebec,2.9,3.7,20000,159,"    $10,000 to $19,999",,809375,,334315,,475065,,12,,10,,13.9,
2021,2021A000224,24,Province,Quebec,2.9,3.7,20000,160,"    $20,000 to $29,999",,1124265,,499780,,624485,,16.7,,15,,18.3,
2021,2021A000224,24,Province,Quebec,2.9,3.7,20000,161,"    $30,000 to $39,999",,896520,,414070,,482445,,13.3,,12.4,,14.1,
2021,2021A000224,24,Province,Quebec,2.9,3.7,20000,162,"    $40,000 to $49,999",,849005,,411680,,437325,,12.6,,12.4,,12.8,
2021,2021A000224,24,Province,Quebec,2.9,3.7,20000,163,"    $50,000 to $59,999",,687020,,345720,,341305,,10.2,,10.4,,10,
2021,2021A000224,24,Province,Quebec,2.9,3.7,20000,164,"    $60,000 to $69,999",,503110,,271695,,231415,,7.5,,8.2,,6.8,
2021,2021A000224,24,Province,Quebec,2.9,3.7,20000,165,"    $70,000 to $79,999",,367455,,208475,,158980,,5.5,,6.3,,4.7,
2021,2021A000224,24,Province,Quebec,2.9,3.7,20000,166,"    $80,000 to $89,999",,284690,,158760,,125930,,4.2,,4.8,,3.7,
2021,2021A000224,24,Province,Quebec,2.9,3.7,20000,167,"    $90,000 to $99,999",,198140,,112355,,85780,,2.9,,3.4,,2.5,
2021,2021A000224,24,Province,Quebec,2.9,3.7,20000,168,"    $100,000 and over",,556780,,365700,,191080,,8.3,,11,,5.6,
2021,2021A000224,24,Province,Quebec,2.9,3.7,20000,169,"      $100,000 to $149,999",,385890,,245635,,140260,,5.7,,7.4,,4.1,
2021,2021A000224,24,Province,Quebec,2.9,3.7,20000,170,"      $150,000 and over",,170890,,120065,,50820,,2.5,,3.6,,1.5,
2021,2021A000247,47,Province,Saskatchewan,4.5,6.5,20000,159,"    $10,000 to $19,999",,92735,,40045,,52690,,11,,9.6,,12.3,
2021,2021A000247,47,Province,Saskatchewan,4.5,6.5,20000,160,"    $20,000 to $29,999",,126965,,54565,,72400,,15,,13.1,,16.9,
2021,2021A000247,47,Province,Saskatchewan,4.5,6.5,20000,161,"    $30,000 to $39,999",,105405,,45260,,60150,,12.5,,10.9,,14.1,
2021,2021A000247,47,Province,Saskatchewan,4.5,6.5,20000,162,"    $40,000 to $49,999",,96850,,43305,,53545,,11.5,,10.4,,12.5,
2021,2021A000247,47,Province,Saskatchewan,4.5,6.5,20000,163,"    $50,000 to $59,999",,80190,,38235,,41955,,9.5,,9.2,,9.8,
2021,2021A000247,47,Province,Saskatchewan,4.5,6.5,20000,164,"    $60,000 to $69,999",,63160,,33360,,29800,,7.5,,8,,7,
2021,2021A000247,47,Province,Saskatchewan,4.5,6.5,20000,165,"    $70,000 to $79,999",,49340,,27775,,21560,,5.8,,6.7,,5,
2021,2021A000247,47,Province,Saskatchewan,4.5,6.5,20000,166,"    $80,000 to $89,999",,38610,,22165,,16450,,4.6,,5.3,,3.8,
2021,2021A000247,47,Province,Saskatchewan,4.5,6.5,20000,167,"    $90,000 to $99,999",,30895,,17430,,13460,,3.7,,4.2,,3.1,
2021,2021A000247,47,Province,Saskatchewan,4.5,6.5,20000,168,"    $100,000 and over",,89220,,61310,,27910,,10.6,,14.7,,6.5,
2021,2021A000247,47,Province,Saskatchewan,4.5,6.5,20000,169,"      $100,000 to $149,999",,62465,,40955,,21510,,7.4,,9.8,,5,
2021,2021A000247,47,Province,Saskatchewan,4.5,6.5,20000,170,"      $150,000 and over",,26750,,20350,,6400,,3.2,,4.9,,1.5,
